Date,Machine,Units_Produced,Defective_Units,Quality_Rate
2025-01-05,Machine de soudage robotisee,927,71,92.34
2025-01-05,Robot assemblage,1002,57,94.31
2025-01-05,Machine de moulage par injection,963,38,96.05
2025-01-05,Machine extrusion,1044,47,95.5
2025-01-05,Machine de pliage,965,33,96.58
2025-01-05,Machine de polissage,1017,41,95.97
2025-01-05,Machine de peinture industrielle,985,86,91.27
2025-01-05,Machine emballage,995,87,91.26
2025-01-05,Etiqueteuse automatique,1009,82,91.87
2025-01-05,Convoyeur industriel,963,59,93.87
2025-01-05,Machine de controle qualite par vision,973,42,95.68
2025-01-05,Machine de palettisation automatique,989,33,96.66
2025-01-06,Machine CNC,665,52,92.18
2025-01-06,Tour industriel,712,45,93.68
2025-01-06,Fraiseuse industrielle,720,47,93.47
2025-01-06,Perceuse a colonne,783,37,95.27
2025-01-06,Presse hydraulique,891,46,94.84
2025-01-06,Presse mecanique,817,36,95.59
2025-01-06,Machine de decoupe laser,900,41,95.44
2025-01-06,Machine de decoupe plasma,954,85,91.09
2025-01-06,Machine de soudage robotisee,952,75,92.12
2025-01-06,Robot assemblage,1016,60,94.09
2025-01-06,Machine de moulage par injection,918,42,95.42
2025-01-06,Machine extrusion,NaN,34,96.62
2025-01-06,Machine de pliage,1017,39,96.17
2025-01-06,Machine de polissage,992,40,95.97
2025-01-06,Machine de peinture industrielle,947,94,90.07
2025-01-06,Machine emballage,959,79,91.76
2025-01-06,Etiqueteuse automatique,935,72,92.3
2025-01-06,Convoyeur industriel,922,61,93.38
2025-01-06,Machine de controle qualite par vision,962,38,96.05
2025-01-06,Machine de palettisation automatique,977,35,96.42
2025-01-07,Machine CNC,664,49,92.62
2025-01-07,Tour industriel,762,46,93.96
2025-01-07,Fraiseuse industrielle,813,45,94.46
2025-01-07,Perceuse a colonne,848,43,94.93
2025-01-07,Presse hydraulique,879,49,94.43
2025-01-07,Presse mecanique,977,55,94.37
2025-01-07,Machine de decoupe laser,939,48,94.89
2025-01-07,Machine de decoupe plasma,992,83,91.63
2025-01-07,Machine de soudage robotisee,927,76,NaN
2025-01-07,Robot assemblage,987,58,94.12
2025-01-07,Machine de moulage par injection,976,58,94.06
2025-01-07,Machine extrusion,973,38,96.09
2025-01-07,Machine de pliage,955,40,95.81
2025-01-07,Machine de polissage,923,35,96.21
2025-01-07,Machine de peinture industrielle,922,90,90.24
2025-01-07,Machine emballage,951,75,92.11
2025-01-07,Etiqueteuse automatique,930,67,92.8
2025-01-07,Convoyeur industriel,909,55,93.95
2025-01-07,Machine de controle qualite par vision,991,44,95.56
2025-01-07,Machine de palettisation automatique,914,33,96.39
2025-01-08,Machine CNC,692,49,92.92
2025-01-08,Tour industriel,746,53,92.9
2025-01-08,Fraiseuse industrielle,783,50,93.61
2025-01-08,Perceuse a colonne,893,48,94.62
2025-01-08,Presse hydraulique,915,53,94.21
2025-01-08,Presse mecanique,923,54,94.15
2025-01-08,Machine de decoupe laser,913,45,95.07
2025-01-08,Machine de decoupe plasma,942,85,90.98
2025-01-08,Machine de soudage robotisee,957,74,92.27
2025-01-08,Robot assemblage,956,54,94.35
2025-01-08,Machine de moulage par injection,959,38,96.04
2025-01-08,Machine extrusion,956,35,96.34
2025-01-08,Machine de pliage,896,32,96.43
2025-01-08,Machine de polissage,896,40,95.54
2025-01-08,Machine de peinture industrielle,933,92,90.14
2025-01-08,Machine emballage,893,85,90.48
2025-01-08,Etiqueteuse automatique,917,71,92.26
2025-01-08,Convoyeur industriel,953,55,94.23
2025-01-08,Machine de controle qualite par vision,916,40,95.63
2025-01-08,Machine de palettisation automatique,1047,31,97.04
2025-01-09,Machine CNC,744,56,92.47
2025-01-09,Tour industriel,838,47,94.39
2025-01-09,Fraiseuse industrielle,820,42,94.88
2025-01-09,Perceuse a colonne,859,51,94.06
2025-01-09,Presse hydraulique,878,51,94.19
2025-01-09,Presse mecanique,907,53,94.16
2025-01-09,Machine de decoupe laser,897,43,95.21
2025-01-09,Machine de decoupe plasma,961,86,91.05
2025-01-09,Machine de soudage robotisee,894,58,93.51
2025-01-09,Robot assemblage,914,54,94.09
2025-01-09,Machine de moulage par injection,925,45,95.14
2025-01-09,Machine extrusion,902,42,95.34
2025-01-09,Machine de pliage,918,34,96.3
2025-01-09,Machine de polissage,901,32,96.45
2025-01-09,Machine de peinture industrielle,929,84,90.96
2025-01-09,Machine emballage,906,81,91.06
2025-01-09,Etiqueteuse automatique,970,70,92.78
2025-01-09,Convoyeur industriel,980,62,93.67
2025-01-09,Machine de controle qualite par vision,1026,41,96.0
2025-01-09,Machine de palettisation automatique,1049,39,96.28
2025-01-10,Machine CNC,760,54,92.89
2025-01-10,Tour industriel,799,47,94.12
2025-01-10,Fraiseuse industrielle,822,46,NaN
2025-01-10,Perceuse a colonne,817,50,93.88
2025-01-10,Presse hydraulique,846,47,94.44
2025-01-10,Presse mecanique,849,46,94.58
2025-01-10,Machine de decoupe laser,854,48,94.38
2025-01-10,Machine de decoupe plasma,907,85,90.63
2025-01-10,Machine de soudage robotisee,887,60,93.24
2025-01-10,Robot assemblage,905,48,94.7
2025-01-10,Machine de moulage par injection,942,51,94.59
2025-01-10,Machine extrusion,951,39,95.9
2025-01-10,Machine de pliage,904,29,96.79
2025-01-10,Machine de polissage,954,41,95.7
2025-01-10,Machine de peinture industrielle,981,100,89.81
2025-01-10,Machine emballage,985,88,91.07
2025-01-10,Etiqueteuse automatique,1030,70,93.2
2025-01-10,Convoyeur industriel,983,54,94.51
2025-01-10,Machine de controle qualite par vision,1008,41,95.93
2025-01-10,Machine de palettisation automatique,1085,29,97.33
2025-01-11,Machine CNC,716,51,92.88
2025-01-11,Tour industriel,790,47,94.05
2025-01-11,Fraiseuse industrielle,761,42,94.48
2025-01-11,Perceuse a colonne,831,42,94.95
2025-01-11,Presse hydraulique,830,46,94.46
2025-01-11,Presse mecanique,873,51,94.16
2025-01-11,Machine de decoupe laser,882,39,95.58
2025-01-11,Machine de decoupe plasma,881,74,91.6
2025-01-11,Machine de soudage robotisee,883,67,92.41
2025-01-11,Robot assemblage,NaN,61,93.39
2025-01-11,Machine de moulage par injection,913,46,94.96
2025-01-11,Machine extrusion,932,45,95.17
2025-01-11,Machine de pliage,908,41,95.48
2025-01-11,Machine de polissage,958,44,95.41
2025-01-11,Machine de peinture industrielle,999,94,90.59
2025-01-11,Machine emballage,1022,92,91.0
2025-01-11,Etiqueteuse automatique,1065,72,93.24
2025-01-11,Convoyeur industriel,1022,57,94.42
2025-01-11,Machine de controle qualite par vision,1019,31,96.96
2025-01-11,Machine de palettisation automatique,1022,32,96.87
2025-01-12,Machine CNC,684,43,93.71
2025-01-12,Tour industriel,734,47,93.6
2025-01-12,Fraiseuse industrielle,762,42,94.49
2025-01-12,Perceuse a colonne,814,51,93.73
2025-01-12,Presse hydraulique,738,47,93.63
2025-01-12,Presse mecanique,818,43,94.74
2025-01-12,Machine de decoupe laser,888,36,95.95
2025-01-12,Machine de decoupe plasma,870,71,NaN
2025-01-12,Machine de soudage robotisee,907,62,93.16
2025-01-12,Robot assemblage,930,52,94.41
2025-01-12,Machine de moulage par injection,966,42,95.65
2025-01-12,Machine extrusion,916,39,95.74
2025-01-12,Machine de pliage,972,48,95.06
2025-01-12,Machine de polissage,1008,39,96.13
2025-01-12,Machine de peinture industrielle,954,88,90.78
2025-01-12,Machine emballage,973,80,91.78
2025-01-12,Etiqueteuse automatique,1019,69,93.23
2025-01-12,Convoyeur industriel,1006,52,94.83
2025-01-12,Machine de controle qualite par vision,1001,34,96.6
2025-01-12,Machine de palettisation automatique,972,40,95.88
2025-01-13,Machine CNC,666,47,92.94
2025-01-13,Tour industriel,730,48,93.42
2025-01-13,Fraiseuse industrielle,750,36,95.2
2025-01-13,Perceuse a colonne,820,49,94.02
2025-01-13,Presse hydraulique,810,53,93.46
2025-01-13,Presse mecanique,866,46,94.69
2025-01-13,Machine de decoupe laser,929,43,95.37
2025-01-13,Machine de decoupe plasma,929,72,92.25
2025-01-13,Machine de soudage robotisee,952,67,92.96
2025-01-13,Robot assemblage,935,57,93.9
2025-01-13,Machine de moulage par injection,1030,45,95.63
2025-01-13,Machine extrusion,1010,39,96.14
2025-01-13,Machine de pliage,1012,42,95.85
2025-01-13,Machine de polissage,1029,54,94.75
2025-01-13,Machine de peinture industrielle,989,93,90.6
2025-01-13,Machine emballage,966,72,92.55
2025-01-13,Etiqueteuse automatique,954,67,92.98
2025-01-13,Convoyeur industriel,955,48,94.97
2025-01-13,Machine de controle qualite par vision,947,35,96.3
2025-01-13,Machine de palettisation automatique,956,32,96.65
2025-01-14,Machine CNC,715,43,93.99
2025-01-14,Tour industriel,759,44,94.2
2025-01-14,Fraiseuse industrielle,814,49,93.98
2025-01-14,Perceuse a colonne,814,51,93.73
2025-01-14,Presse hydraulique,907,56,93.83
2025-01-14,Presse mecanique,922,54,94.14
2025-01-14,Machine de decoupe laser,931,41,95.6
2025-01-14,Machine de decoupe plasma,975,81,91.69
2025-01-14,Machine de soudage robotisee,986,72,92.7
2025-01-14,Robot assemblage,953,48,94.96
2025-01-14,Machine de moulage par injection,949,47,95.05
2025-01-14,Machine extrusion,997,41,95.89
2025-01-14,Machine de pliage,921,46,95.01
2025-01-14,Machine de polissage,929,41,95.59
2025-01-14,Machine de peinture industrielle,937,87,90.72
2025-01-14,Machine emballage,908,78,91.41
2025-01-14,Etiqueteuse automatique,910,64,92.97
2025-01-14,Convoyeur industriel,907,49,94.6
2025-01-14,Machine de controle qualite par vision,899,37,95.88
2025-01-14,Machine de palettisation automatique,1012,33,96.74
2025-01-15,Machine CNC,771,52,93.26
2025-01-15,Tour industriel,797,51,93.6
2025-01-15,Fraiseuse industrielle,846,51,93.97
2025-01-15,Perceuse a colonne,885,71,91.98
2025-01-15,Presse hydraulique,960,64,93.33
2025-01-15,Presse mecanique,890,44,95.06
2025-01-15,Machine de decoupe laser,958,42,95.62
2025-01-15,Machine de decoupe plasma,951,72,92.43
2025-01-15,Machine de soudage robotisee,995,60,93.97
2025-01-15,Robot assemblage,940,55,94.15
2025-01-15,Machine de moulage par injection,932,52,94.42
2025-01-15,Machine extrusion,918,44,95.21
2025-01-15,Machine de pliage,938,43,95.42
2025-01-15,Machine de polissage,940,39,95.85
2025-01-15,Machine de peinture industrielle,915,89,90.27
2025-01-15,Machine emballage,870,67,92.3
2025-01-15,Etiqueteuse automatique,925,60,93.51
2025-01-15,Convoyeur industriel,981,49,95.01
2025-01-15,Machine de controle qualite par vision,1038,40,96.15
2025-01-15,Machine de palettisation automatique,1028,35,96.6
2025-01-16,Machine CNC,733,58,92.09
2025-01-16,Tour industriel,826,49,94.07
2025-01-16,Fraiseuse industrielle,823,50,93.92
2025-01-16,Perceuse a colonne,887,56,93.69
2025-01-16,Presse hydraulique,898,55,93.88
2025-01-16,Presse mecanique,919,55,94.02
2025-01-16,Machine de decoupe laser,991,45,95.46
2025-01-16,Machine de decoupe plasma,923,73,92.09
2025-01-16,Machine de soudage robotisee,944,58,93.86
2025-01-16,Robot assemblage,884,48,94.57
2025-01-16,Machine de moulage par injection,903,48,94.68
2025-01-16,Machine extrusion,909,47,94.83
2025-01-16,Machine de pliage,833,43,94.84
2025-01-16,Machine de polissage,911,38,95.83
2025-01-16,Machine de peinture industrielle,924,80,91.34
2025-01-16,Machine emballage,955,71,92.57
2025-01-16,Etiqueteuse automatique,959,67,93.01
2025-01-16,Convoyeur industriel,967,49,94.93
2025-01-16,Machine de controle qualite par vision,1004,46,95.42
2025-01-16,Machine de palettisation automatique,1051,33,96.86
2025-01-17,Machine CNC,789,58,92.65
2025-01-17,Tour industriel,798,51,93.61
2025-01-17,Fraiseuse industrielle,874,58,93.36
2025-01-17,Perceuse a colonne,847,61,92.8
2025-01-17,Presse hydraulique,816,50,93.87
2025-01-17,Presse mecanique,887,51,94.25
2025-01-17,Machine de decoupe laser,906,30,96.69
2025-01-17,Machine de decoupe plasma,938,82,91.26
2025-01-17,Machine de soudage robotisee,957,62,93.52
2025-01-17,Robot assemblage,880,51,94.2
2025-01-17,Machine de moulage par injection,861,47,94.54
2025-01-17,Machine extrusion,876,45,94.86
2025-01-17,Machine de pliage,971,39,95.98
2025-01-17,Machine de polissage,961,41,95.73
2025-01-17,Machine de peinture industrielle,962,84,91.27
2025-01-17,Machine emballage,970,74,92.37
2025-01-17,Etiqueteuse automatique,1010,64,93.66
2025-01-17,Convoyeur industriel,1061,51,95.19
2025-01-17,Machine de controle qualite par vision,1029,37,96.4
2025-01-17,Machine de palettisation automatique,1057,39,96.31
2025-01-18,Machine CNC,729,54,92.59
2025-01-18,Tour industriel,776,56,92.78
2025-01-18,Fraiseuse industrielle,837,54,93.55
2025-01-18,Perceuse a colonne,800,54,93.25
2025-01-18,Presse hydraulique,886,56,93.68
2025-01-18,Presse mecanique,858,43,94.99
2025-01-18,Machine de decoupe laser,867,33,96.19
2025-01-18,Machine de decoupe plasma,880,63,92.84
2025-01-18,Machine de soudage robotisee,891,52,94.16
2025-01-18,Robot assemblage,910,47,94.84
2025-01-18,Machine de moulage par injection,919,39,95.76
2025-01-18,Machine extrusion,957,51,94.67
2025-01-18,Machine de pliage,978,50,94.89
2025-01-18,Machine de polissage,1021,46,95.49
2025-01-18,Machine de peinture industrielle,977,89,90.89
2025-01-18,Machine emballage,1041,81,92.22
2025-01-18,Etiqueteuse automatique,1042,65,93.76
2025-01-18,Convoyeur industriel,1004,45,95.52
2025-01-18,Machine de controle qualite par vision,996,35,96.49
2025-01-18,Machine de palettisation automatique,1043,36,96.55
2025-01-19,Machine CNC,780,49,93.72
2025-01-19,Tour industriel,721,47,93.48
2025-01-19,Fraiseuse industrielle,767,52,93.22
2025-01-19,Perceuse a colonne,804,56,93.03
2025-01-19,Presse hydraulique,841,51,93.94
2025-01-19,Presse mecanique,846,43,94.92
2025-01-19,Machine de decoupe laser,869,34,96.09
2025-01-19,Machine de decoupe plasma,919,62,93.25
2025-01-19,Machine de soudage robotisee,933,60,93.57
2025-01-19,Robot assemblage,932,53,94.31
2025-01-19,Machine de moulage par injection,958,49,94.89
2025-01-19,Machine extrusion,1008,48,95.24
2025-01-19,Machine de pliage,988,64,93.52
2025-01-19,Machine de polissage,983,54,94.51
2025-01-19,Machine de peinture industrielle,1002,91,90.92
2025-01-19,Machine emballage,995,76,92.36
2025-01-19,Etiqueteuse automatique,969,60,93.81
2025-01-19,Convoyeur industriel,920,42,95.43
2025-01-19,Machine de controle qualite par vision,996,33,96.69
2025-01-19,Machine de palettisation automatique,1032,37,96.41
2025-01-20,Machine CNC,679,49,92.78
2025-01-20,Tour industriel,773,56,92.76
2025-01-20,Fraiseuse industrielle,774,59,92.38
2025-01-20,Perceuse a colonne,796,48,93.97
2025-01-20,Presse hydraulique,820,51,93.78
2025-01-20,Presse mecanique,828,47,94.32
2025-01-20,Machine de decoupe laser,922,37,95.99
2025-01-20,Machine de decoupe plasma,978,73,92.54
2025-01-20,Machine de soudage robotisee,939,65,93.08
2025-01-20,Robot assemblage,967,53,94.52
2025-01-20,Machine de moulage par injection,963,59,93.87
2025-01-20,Machine extrusion,943,46,95.12
2025-01-20,Machine de pliage,1000,45,95.5
2025-01-20,Machine de polissage,996,48,95.18
2025-01-20,Machine de peinture industrielle,933,77,91.75
2025-01-20,Machine emballage,887,63,92.9
2025-01-20,Etiqueteuse automatique,928,50,94.61
2025-01-20,Convoyeur industriel,936,39,95.83
2025-01-20,Machine de controle qualite par vision,1009,34,96.63
2025-01-20,Machine de palettisation automatique,992,29,97.08
2025-01-21,Machine CNC,708,55,92.23
2025-01-21,Tour industriel,746,45,93.97
2025-01-21,Fraiseuse industrielle,736,42,94.29
2025-01-21,Perceuse a colonne,853,59,93.08
2025-01-21,Presse hydraulique,860,55,93.6
2025-01-21,Presse mecanique,966,49,94.93
2025-01-21,Machine de decoupe laser,946,39,95.88
2025-01-21,Machine de decoupe plasma,938,75,92.0
2025-01-21,Machine de soudage robotisee,967,62,93.59
2025-01-21,Robot assemblage,943,55,94.17
2025-01-21,Machine de moulage par injection,948,55,94.2
2025-01-21,Machine extrusion,978,53,94.58
2025-01-21,Machine de pliage,946,47,95.03
2025-01-21,Machine de polissage,904,39,95.69
2025-01-21,Machine de peinture industrielle,901,86,90.46
2025-01-21,Machine emballage,868,61,92.97
2025-01-21,Etiqueteuse automatique,961,56,94.17
2025-01-21,Convoyeur industriel,896,45,94.98
2025-01-21,Machine de controle qualite par vision,950,41,95.68
2025-01-21,Machine de palettisation automatique,1015,41,95.96
2025-01-22,Machine CNC,730,47,93.56
2025-01-22,Tour industriel,795,57,92.83
2025-01-22,Fraiseuse industrielle,804,56,93.03
2025-01-22,Perceuse a colonne,893,61,93.17
2025-01-22,Presse hydraulique,927,61,93.42
2025-01-22,Presse mecanique,971,52,94.64
2025-01-22,Machine de decoupe laser,941,32,96.6
2025-01-22,Machine de decoupe plasma,965,75,NaN
2025-01-22,Machine de soudage robotisee,966,55,94.31
2025-01-22,Robot assemblage,915,55,93.99
2025-01-22,Machine de moulage par injection,893,53,94.06
2025-01-22,Machine extrusion,869,45,94.82
2025-01-22,Machine de pliage,873,47,94.62
2025-01-22,Machine de polissage,913,44,95.18
2025-01-22,Machine de peinture industrielle,864,81,90.62
2025-01-22,Machine emballage,877,66,92.47
2025-01-22,Etiqueteuse automatique,880,49,94.43
2025-01-22,Convoyeur industriel,946,43,95.45
2025-01-22,Machine de controle qualite par vision,942,40,95.75
2025-01-22,Machine de palettisation automatique,1032,43,95.83
2025-01-23,Machine CNC,771,54,93.0
2025-01-23,Tour industriel,826,62,92.49
2025-01-23,Fraiseuse industrielle,851,62,92.71
2025-01-23,Perceuse a colonne,866,63,92.73
2025-01-23,Presse hydraulique,882,50,94.33
2025-01-23,Presse mecanique,921,40,95.66
2025-01-23,Machine de decoupe laser,919,31,96.63
2025-01-23,Machine de decoupe plasma,889,64,92.8
2025-01-23,Machine de soudage robotisee,929,62,93.33
2025-01-23,Robot assemblage,887,44,95.04
2025-01-23,Machine de moulage par injection,935,52,94.44
2025-01-23,Machine extrusion,880,43,95.11
2025-01-23,Machine de pliage,943,54,94.27
2025-01-23,Machine de polissage,884,48,94.57
2025-01-23,Machine de peinture industrielle,892,73,91.82
2025-01-23,Machine emballage,897,66,92.64
2025-01-23,Etiqueteuse automatique,1007,56,94.44
2025-01-23,Convoyeur industriel,956,48,94.98
2025-01-23,Machine de controle qualite par vision,994,45,95.47
2025-01-23,Machine de palettisation automatique,1037,40,96.14
2025-01-24,Machine CNC,767,53,93.09
2025-01-24,Tour industriel,790,61,92.28
2025-01-24,Fraiseuse industrielle,839,62,92.61
2025-01-24,Perceuse a colonne,829,59,92.88
2025-01-24,Presse hydraulique,874,53,93.94
2025-01-24,Presse mecanique,910,40,95.6
2025-01-24,Machine de decoupe laser,874,16,98.17
2025-01-24,Machine de decoupe plasma,917,63,93.13
2025-01-24,Machine de soudage robotisee,888,54,93.92
2025-01-24,Robot assemblage,908,48,94.71
2025-01-24,Machine de moulage par injection,890,48,94.61
2025-01-24,Machine extrusion,920,54,94.13
2025-01-24,Machine de pliage,903,50,94.46
2025-01-24,Machine de polissage,911,40,95.61
2025-01-24,Machine de peinture industrielle,934,87,90.69
2025-01-24,Machine emballage,953,67,92.97
2025-01-24,Etiqueteuse automatique,939,48,94.89
2025-01-24,Convoyeur industriel,1047,44,95.8
2025-01-24,Machine de controle qualite par vision,1058,46,95.65
2025-01-24,Machine de palettisation automatique,1055,43,95.92
2025-01-25,Machine CNC,717,57,92.05
2025-01-25,Tour industriel,765,54,92.94
2025-01-25,Fraiseuse industrielle,764,54,92.93
2025-01-25,Perceuse a colonne,805,62,92.3
2025-01-25,Presse hydraulique,824,45,94.54
2025-01-25,Presse mecanique,824,40,95.15
2025-01-25,Machine de decoupe laser,826,24,97.09
2025-01-25,Machine de decoupe plasma,847,58,93.15
2025-01-25,Machine de soudage robotisee,860,47,94.53
2025-01-25,Robot assemblage,887,53,94.02
2025-01-25,Machine de moulage par injection,906,52,94.26
2025-01-25,Machine extrusion,922,47,94.9
2025-01-25,Machine de pliage,965,52,94.61
2025-01-25,Machine de polissage,963,52,94.6
2025-01-25,Machine de peinture industrielle,965,82,91.5
2025-01-25,Machine emballage,975,61,93.74
2025-01-25,Etiqueteuse automatique,971,51,94.75
2025-01-25,Convoyeur industriel,1082,59,94.55
2025-01-25,Machine de controle qualite par vision,985,40,95.94
2025-01-25,Machine de palettisation automatique,1012,42,95.85
2025-01-26,Machine CNC,742,56,92.45
2025-01-26,Tour industriel,763,55,92.79
2025-01-26,Fraiseuse industrielle,704,57,91.9
2025-01-26,Perceuse a colonne,784,57,92.73
2025-01-26,Presse hydraulique,802,50,93.77
2025-01-26,Presse mecanique,873,36,95.88
2025-01-26,Machine de decoupe laser,884,19,97.85
2025-01-26,Machine de decoupe plasma,925,63,93.19
2025-01-26,Machine de soudage robotisee,951,68,92.85
2025-01-26,Robot assemblage,869,67,92.29
2025-01-26,Machine de moulage par injection,905,57,93.7
2025-01-26,Machine extrusion,946,55,94.19
2025-01-26,Machine de pliage,970,48,95.05
2025-01-26,Machine de polissage,969,41,95.77
2025-01-26,Machine de peinture industrielle,987,84,91.49
2025-01-26,Machine emballage,1051,80,92.39
2025-01-26,Etiqueteuse automatique,938,54,94.24
2025-01-26,Convoyeur industriel,1019,43,95.78
2025-01-26,Machine de controle qualite par vision,1028,41,96.01
2025-01-26,Machine de palettisation automatique,1020,44,95.69
2025-01-27,Machine CNC,710,56,92.11
2025-01-27,Tour industriel,717,54,92.47
2025-01-27,Fraiseuse industrielle,739,57,92.29
2025-01-27,Perceuse a colonne,800,53,93.38
2025-01-27,Presse hydraulique,829,36,95.66
2025-01-27,Presse mecanique,886,37,95.82
2025-01-27,Machine de decoupe laser,924,26,97.19
2025-01-27,Machine de decoupe plasma,915,63,93.11
2025-01-27,Machine de soudage robotisee,904,60,93.36
2025-01-27,Robot assemblage,951,57,94.01
2025-01-27,Machine de moulage par injection,1011,68,93.27
2025-01-27,Machine extrusion,942,56,94.06
2025-01-27,Machine de pliage,1018,58,94.3
2025-01-27,Machine de polissage,891,33,96.3
2025-01-27,Machine de peinture industrielle,948,77,91.88
2025-01-27,Machine emballage,930,68,92.69
2025-01-27,Etiqueteuse automatique,931,61,93.45
2025-01-27,Convoyeur industriel,918,39,95.75
2025-01-27,Machine de controle qualite par vision,948,39,95.89
2025-01-27,Machine de palettisation automatique,996,51,94.88
2025-01-28,Machine CNC,699,51,92.7
2025-01-28,Tour industriel,738,56,92.41
2025-01-28,Fraiseuse industrielle,809,57,92.95
2025-01-28,Perceuse a colonne,881,64,92.74
2025-01-28,Presse hydraulique,857,53,93.82
2025-01-28,Presse mecanique,930,37,96.02
2025-01-28,Machine de decoupe laser,985,27,97.26
2025-01-28,Machine de decoupe plasma,926,60,93.52
2025-01-28,Machine de soudage robotisee,949,64,93.26
2025-01-28,Robot assemblage,984,61,93.8
2025-01-28,Machine de moulage par injection,925,60,93.51
2025-01-28,Machine extrusion,954,59,93.82
2025-01-28,Machine de pliage,905,49,94.59
2025-01-28,Machine de polissage,946,48,94.93
2025-01-28,Machine de peinture industrielle,876,72,91.78
2025-01-28,Machine emballage,924,55,94.05
2025-01-28,Etiqueteuse automatique,893,40,95.52
2025-01-28,Convoyeur industriel,927,47,94.93
